eventId,windowId,startDate,endDate,tradeQuestion
actual-cold-1,rumor,2021-02-07,2021-02-10,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-1,selloff,2021-02-14,2021-02-16,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-1,event,2021-02-17,2021-02-17,What happened while the actual cold event was present?
actual-cold-2,rumor,2021-02-09,2021-02-12,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-2,selloff,2021-02-16,2021-02-18,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-2,event,2021-02-19,2021-02-20,What happened while the actual cold event was present?
actual-cold-3,rumor,2021-03-22,2021-03-25,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-3,selloff,2021-03-29,2021-03-31,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-3,event,2021-04-01,2021-04-02,What happened while the actual cold event was present?
actual-cold-4,rumor,2021-04-12,2021-04-15,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-4,selloff,2021-04-19,2021-04-21,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-4,event,2021-04-22,2021-04-22,What happened while the actual cold event was present?
actual-cold-5,rumor,2021-05-19,2021-05-22,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-5,selloff,2021-05-26,2021-05-28,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-5,event,2021-05-29,2021-05-30,What happened while the actual cold event was present?
actual-cold-6,rumor,2022-01-19,2022-01-22,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-6,selloff,2022-01-26,2022-01-28,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-6,event,2022-01-29,2022-01-29,What happened while the actual cold event was present?
actual-cold-7,rumor,2022-03-02,2022-03-05,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-7,selloff,2022-03-09,2022-03-11,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-7,event,2022-03-12,2022-03-12,What happened while the actual cold event was present?
actual-cold-8,rumor,2022-03-17,2022-03-20,Did broad 7-10 day forecast cold bid UNG before the event?
