issueDate,targetDate,leadDays,windowId,modelId,weightedAnomalyF,coveragePct,extremeCount,sampledWeight,locationCount,sampledValidHoursUtc,qualifies,source
2024-03-01,2024-03-02,1,selloff,ecmwf-ifs-025-00z-aws-open-data,6.316,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-01,2024-03-03,2,selloff,ecmwf-ifs-025-00z-aws-open-data,16.842,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-01,2024-03-04,3,selloff,ecmwf-ifs-025-00z-aws-open-data,20.568,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-01,2024-03-08,7,rumor,ecmwf-ifs-025-00z-aws-open-data,10.078,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-01,2024-03-09,8,rumor,ecmwf-ifs-025-00z-aws-open-data,11.081,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-01,2024-03-10,9,rumor,ecmwf-ifs-025-00z-aws-open-data,10.294,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-01,2024-03-11,10,rumor,ecmwf-ifs-025-00z-aws-open-data,5.537,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-02,2024-03-03,1,selloff,ecmwf-ifs-025-00z-aws-open-data,16.016,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-02,2024-03-04,2,selloff,ecmwf-ifs-025-00z-aws-open-data,21.042,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-02,2024-03-05,3,selloff,ecmwf-ifs-025-00z-aws-open-data,18.886,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
2024-03-02,2024-03-09,7,rumor,ecmwf-ifs-025-00z-aws-open-data,8.041,0,0,1.06,18,0,false,"ECMWF IFS 0.25 degree open data on AWS, 2t surface field"
